hand,board
"Ac,7d","7h,5c,9c,Th,4d"
"Td,8d","4d,5d,8c,6c"
"4s,Ah","6h,3h,Qc,5s"
"8s,6d","4s,Qd,2s,Ad,4h"
"5c,3c","4c,9c,Js,Kh"
"Td,4s","Ac,Jh,Ts"
"2c,7s","5d,4h,4c"
"8s,4d","Ac,Td,6d,8d"
"Jh,8c","9h,Qd,5h,Ts,Qh"
"2h,2s","Js,5h,9s"
"3s,6c","Ts,9d,Jc,Ad"
"Tc,Qd","Jc,9d,3c,8h"
"Kh,8d","9s,3h,8s"
"9h,4c","Jd,9d,4d"
"Ac,5d","2c,5h,8d,Ad"
"Ks,5d","8s,Qd,4d"
"6d,3s","9s,Ac,9h,Qs"
"Tc,Jd","Kd,2d,Js,Jh"
"6h,Ac","Tc,5c,Kc,8c,6c"
"4s,8s","7d,Js,8h"
"Kc,2h","Qh,Js,7c"
"3c,Jc","Ah,Ts,Td"
"5s,2h","Kd,5d,Td,9d,5c"
"8d,Jd","2d,3d,7s,9d,7c"
"Td,Th","7c,6d,3d,8c"
"Th,5h","5d,Ac,9s"
"Qd,3d","9s,Jh,8s"
"Qs,3c","Ac,5d,8c,Qc"
"Ac,2s","8c,Ts,5d,Jh"
"6h,Tc","9c,3h,2s,5h"
"Ad,Kd","9h,Ks,7c,2d,8d"
"4c,8d","Kd,8c,5s,Ts,3d"
"As,Ts","7h,5d,8c,2d,2s"
"4s,6s","6h,Kc,Th,9h"
"6s,6d","7d,3s,Jh,4c"
"5s,8c","Jh,7s,4s,2d,8s"
"Jd,Th","Kh,8c,4h,Qs,Js"
"5h,4d","Qc,2s,3h,4s"
"6s,Js","9s,3h,3c,8c,Qh"
"Qd,7h","Qc,4s,3c"
"7c,9d","2c,Ah,7s"
"7h,9d","7s,Td,Ah,Qh"
"2s,8d","9s,7d,5s"
"6s,7d","Js,Qd,9c"
"4s,Th","Ts,9c,8d"
"6s,8h","Td,Ah,8c,Qh"
"2h,Jd","9s,7h,8c"
"6h,5d","As,6c,8s,2h,Jh"
"9d,7c","5c,Ad,8d,Qs"
"7d,8d","5h,3h,3s,2c"
"8d,3c","8c,9d,Ac"
"5h,2s","Ad,7d,6c,Td"
"7h,Ah","5h,Td,6h,3s,Qc"
"Tc,6h","7h,7d,4s"
"6c,2c","Ks,4d,2h"
"Ts,4d","6h,Ah,9d"
"2h,Jd","Jc,6c,4s,4d"
"2s,Qd","8h,Ad,2h,6h"
"9c,9d","9s,Qs,9h"
"7s,6h","Ks,2d,8d,2c,7d"
"9c,Qs","6s,Qc,Kd"
"7s,Js","8s,Ts,2h,4d,Kc"
"4h,4s","7c,5c,Qc,Kc"
"5d,2c","9c,Qd,Ah"
"4d,9c","5h,2h,2s,7s"
"Ts,4h","Ah,Ad,5h,8h"
"5h,8c","Jh,8s,2s"
"7c,4h","Js,Qs,2d,5s,6s"
"Ac,2h","7h,8d,Ad,Tc,3s"
"Jc,6s","3h,4h,7s"
"Jd,Td","5c,2h,Ad,7h,Tc"
"5d,Js","7d,8d,8h,2c"
"3d,Jc","7c,8h,Kc,Ts"
"9h,As","6h,Kh,6c,Jh"
"Kd,3c","2c,Ks,5h,4h"
"Ts,8d","4c,Td,9d"
"Ts,Qd","4h,As,6s,Jd,8s"
"2c,Th","6c,9c,Ah,8d"
"Ks,Qd","7d,Ac,8c,6c"
"9h,6h","Jd,Js,Ah,9c"
"Qh,6c","9h,Td,Js"
"4s,9s","5h,Qs,4c,8d,2d"
"Jc,2h","4c,8s,Qs,Qc,Jd"
"7h,As","8c,5h,6c,8s"
"5c,7s","9h,8h,5h"
"Kh,9c","Js,4d,Th,7h,2h"
"2s,3h","7d,6c,Jh,Ah,5h"
"9h,Ks","As,3c,Ad,Ac"
"2d,8d","7s,Kh,2h,Ac,Ks"
"3c,2c","5c,8s,9c,Kc,7s"
"9h,Js","Ah,4c,8h,6h"
"8c,Ts","4d,2d,Tc,2c"
"As,4h","8h,7h,5s"
"Ts,3h","7h,Th,Qd,9s"
"8s,Ah","9s,7h,Js,7d"
"4s,Js","As,8c,9c"
"5h,Kh","Td,5s,4h"
"4c,9d","Jc,Jh,Td"
"Qc,2h","4d,Jd,Td,8s,Kd"
"3h,Jd","2d,4c,4s"
"2d,5h","Qd,4s,Qh,8c"
"5d,Kd","Qc,7s,3c,8h"
"Jc,3h","4s,Kh,Js,As"
"2c,5d","2h,As,2d"
"9c,8c","Jd,Qc,Jc,5s"
"8d,7s","Qd,3c,9s"
"5h,6h","6c,Qs,4h,Qd,Jh"
"Kc,Qh","Jc,Qd,3h,7c,6h"
"4d,4c","9s,9d,Js,4s"
"Td,Kd","6h,Jc,3s,Th,4c"
"4c,9h","3c,Ad,3d"
"Kh,8c","2h,5c,Qs"
"Ah,Ad","Th,6d,6s,8s,4c"
"Jh,5h","6d,Tc,3d,8c"
"7h,Qd","7c,4c,Kh,Td,2h"
"9c,Qh","9h,8s,9s"
"4h,3s","3h,9c,Jh"
"Kc,Ad","9h,8h,5s,4d,Ks"
"Kc,As","6c,9c,3s,Qh"
"7h,Jc","4h,4c,Kd,Qc,Jd"
"Ts,9s","2d,4s,3d,4h,7s"
"8s,2d","8d,Kc,9d,Ks"
"5c,7h","As,8s,Ks,4h"
"Jh,Th","6s,6d,8d,Tc,3d"
"Qc,Jc","9d,6d,8c,Kc,7s"
"Kd,3c","Th,9s,4c"
"4h,8c","Js,6c,8s,Ks"
"4s,4h","6c,Kh,8c,2h,4c"
"5c,Kd","8c,9c,9s"
"8c,Ad","6s,5c,8s"
"As,8h","9h,8c,Qd"
"2c,Qs","5c,Kc,Ts,As"
"Ad,8d","Js,7d,Qs"
"Kc,Jd","Ts,4h,Ks,7c,6h"
"Js,2d","Ts,2h,2s,9c,4d"
"2s,Js","Qd,4h,Th,4s,8c"
"Td,Th","Js,3s,Kd,7c,2d"
"5c,8h","Td,6s,Jh"
"Ah,Ad","Qs,7d,9d"
"3h,Td","6d,9s,9h"
"Kc,2h","Kh,2s,2c,Js,Ah"
"3s,Ts","Qd,Th,Ah,8d,4h"
"Kh,6c","Qd,7s,Ts"
"2s,Kh","5d,6s,Kd,Qh"
"8c,Th","6s,8d,As,Js,Qc"
"7c,2d","Kc,3d,7s,7d,Jc"
"9s,6c","Ac,Jd,3d,Js"
"3s,Jd","Qc,Qs,7h,8d,9d"
"3h,7d","9h,7s,Ah,Td"
"8s,4c","4s,Kh,2d,5d,Ad"
"Kd,2d","Jd,7h,2s"
"Qh,3s","2c,Ac,Jd,Jc"
"Qc,Qh","Jd,7h,3s,3c"
"Jd,6c","2h,Jc,3s,As,7d"
"5d,Th","4c,Qd,2c,Tc,Ah"
"Ks,Tc","7c,7d,Qc,Jc,Qd"
"4s,7h","5d,6c,3s,Tc,5s"
"9s,4h","2c,3c,Ac,Qs,Ad"
"Jh,3h","8s,9h,8d"
"3c,5d","5c,8d,Th,4h,5h"
"Ah,7s","Td,Qd,3c,6s,9d"
"2d,Td","5s,3d,4h"
"Td,4d","3c,4s,7h"
"Td,Kc","Qh,8h,As,7c"
"7c,Ac","7h,8d,9c,Kc,3h"
"8h,4c","Td,Ac,6d"
"Ks,9d","Qc,3d,5d,Qd,Jc"
"7d,Jc","Ad,6h,3s,3d,9s"
"2h,Ad","9d,Tc,4h,Jh"
"Ad,5c","6s,6d,As"
"3s,8h","Js,8c,Qd"
"5s,Jc","Qh,Ad,Td"
"8c,3s","9c,Th,As,8s"
"4h,5c","9c,3h,5d,Qd,Qc"
"Tc,8s","4d,7d,Jh"
"Th,Tc","5c,Kd,5h,6s"
"7h,5h","9c,3c,5d,4d"
"5d,Ks","8s,Jc,3d,Kc,Qs"
"2s,2c","7d,Jh,As"
"8s,Ah","8c,3h,Ts,9h"
"2s,8c","3s,Qh,Th,9s"
"5c,Ts","5d,6d,Ah,5s"
"Qs,Kh","6h,4s,2c,5d,9c"
"5h,Kd","Kh,7s,7c,9h,Ac"
"7s,As","Kc,Kh,5c"
"Tc,9c","7h,7s,2s"
"3h,4h","9d,Kh,8c,Td,6s"
"9d,8s","2h,9c,8h,6s,2d"
"Th,Kd","4c,3s,8h"
"Jd,Qc","8s,5h,Jh"
"5h,As","2s,2c,8c,8s"
"6h,5d","9h,3c,7d"
"As,6h","Jh,3d,Kd,6d"
"6h,3d","Ac,9s,Ad,3s,4d"
"Th,6d","8s,5h,5c"
"3h,Jc","5h,Th,Kd,8s,Kc"
"9c,Js","8s,5s,2c,4d,3c"
"4h,2s","Ah,5s,3h,2d,Ks"
"Kd,6d","3h,8c,2c"
"Qs,3c","Ad,6h,4s,Ts,6c"
"Ac,4h","5h,2s,Ad,6c"
"Js,Td","7c,Ks,Ah"
"Js,Kh","8s,9d,8h,Ks,4h"
"5d,3c","Tc,3s,Kh,Qs,5s"
"8d,4c","Ac,5h,6c,8s"
"3s,8d","4c,7h,Th,Ad"
"5s,5d","Qs,Ts,Jd"
"Kd,Kc","6c,Td,8h"
"6h,Jc","2h,2c,Qd,Ah"
"Js,5c","2h,7d,7c"
"Ah,6c","9d,3c,3h,9s"
"Jh,5s","2c,6c,Js,7s,Ad"
"4h,7h","As,3d,9s,8c"
"8d,3s","8c,4h,Kc,As,9h"
"Td,3h","7h,5s,4d,Ts,8s"
"6d,Qh","4c,9c,2s,Th"
"4c,7s","Ad,Jd,6d,Th,Jc"
"4d,7c","7d,4s,Ad"
"5h,As","9d,Jd,Kc,Ah"
"3s,2s","7h,Td,7d,6d"
"9d,As","Qc,Ac,5s"
"Th,Qd","6h,6d,9c,Ts"
"Kd,Qd","Jd,5h,3d,Jh,Qh"
"2h,As","8h,5h,9h"
"2h,Jc","2c,Jd,8d,9d"
"5h,9d","4c,As,8c,7h"
"3c,Td","Kc,7d,Jd,6s,Tc"
"9h,Jh","3h,9s,Qc,6c,3d"
"Kd,Qd","2s,3d,4c,Ah"
"6d,9s","5d,6s,9h,4h,8s"
"Qh,5c","4d,3d,3h,5d,As"
"6c,Kc","8h,Qd,4s,Tc,Th"
"Kd,Ts","7d,8d,4c,Jh,Kc"
"8h,Ac","2d,4d,Kh,5c"
"6h,3s","Kh,Ks,3c,Ts,Ah"
"Qd,3s","5c,5h,6c"
"8d,5c","7s,Ks,5s,3h"
"3d,6h","Jh,8s,Jc,Kd,9h"
"3c,Jc","Tc,6h,4d"
"Qc,Kh","Qs,4c,5h,7d,4d"
"5d,Jc","Ks,9c,3h,8h,Qs"
"As,Kh","3c,8d,Ac,7c"
"4c,4d","5s,Ts,Ac"
"8d,Qd","7c,Js,Tc,3s,Qs"
"2c,As","4d,Qh,2d,8d,Qs"
"Th,7c","As,2s,9s,7d,6h"
"2c,6d","5c,4c,8s,7d"
"4c,7d","6s,9c,Tc,Qh,2s"
"Qs,Ad","7s,6d,8c,8d"
"9d,8c","4h,6c,2c,As,3h"
"3c,2d","Ac,2c,Kh,Jc,Kd"
"Qd,8c","Kd,7c,5s"
"4h,5c","Jh,Qd,Ah"
"6c,3c","8s,Jd,8c,8h,Js"
"5d,4c","2c,Qc,5s"
"6h,4s","8s,2h,Th,5s"
"Kd,2d","9c,Tc,3d,5s,Ts"
"7s,Kh","9c,Jc,5h"
"Td,3c","2c,Ah,Ad"
"2c,9c","9h,2d,8d,Kd,8s"
"Qh,4s","Td,2d,Jh,7c"
"9c,2d","Ad,Kc,Th"
"Ks,3s","6d,2c,8s"
"4c,Td","Ah,Jd,3s"
"As,Tc","2d,8h,7d,Qc,6d"
"Jh,2d","Qc,Ac,2h"
"4c,Jd","8h,Td,Th,Js,3c"
"5s,Qs","Tc,6d,2c"
"2s,3h","Kh,2h,8d,4h"
"6h,Td","7s,8s,Jh"
"5h,Kc","5d,5s,4d,Jh,3d"
"6s,3c","Ks,7h,Qd,5c,Tc"
"Jc,Tc","9d,7c,Qh"
"Kd,4d","6h,Kh,Qs,3h,9h"
"5s,6h","4h,Tc,Ts,3s,Qs"
"2h,Jh","Th,3h,3d,Kc"
"7h,5h","9d,Qh,7d,6s,6c"
"Ad,9h","Ts,Qd,Jc"
"9c,Qs","3s,4d,5s,9d"
"9h,7d","3c,6s,2s"
"Kd,3d","Td,2d,Jc,As"
"2d,3c","9c,Jc,9d,6d"
"4c,Js","5d,5h,3d"
"Qd,7d","Ks,9d,3s,Ad"
"5d,7c","7s,8c,Ad"
"2h,Qc","3s,8s,9c"
"Qh,Td","Ad,8h,Jd,Ts,7d"
"4h,5s","Th,2s,3h,As,Jd"
"Qh,3h","Qd,8c,6d,6s,Kc"
"Tc,Qh","2s,3s,Ad"
"2c,8c","Ks,7d,5h,Kd"
"Ad,Qc","Td,4c,Th,5h"
"4h,6s","7d,4c,Th,Jc"
"8s,Ts","6h,2d,Tc,Qd"
"8h,3s","Qd,Kc,4c,4d,9s"
"4c,9c","Td,7s,6s"
"3d,9h","5c,8s,4s,Kd,Jh"
"Qs,Ts","9d,Td,Jd"
"4c,5c","5s,Th,6c,4h,Kd"
"9s,Qd","8d,6s,5h"
"8h,5s","2d,Th,Jh,6d"
"As,Kc","4h,8d,5s"
"As,Kd","Ts,Jh,3d"
"6s,7h","Qs,Ad,6h"
"Ah,Qc","8s,Qh,Kh,4s"
"7c,5d","Qd,4s,6c,3d"
"9h,9s","6c,2s,Ah"
"6h,6s","5s,Jd,2c"
"2s,8h","Th,3s,6c"
"2s,Jh","6h,Ah,As,5s,Qd"
"4d,Jc","4h,5d,4s,Ts,2h"
"Ks,3h","8c,6s,5s,Jd"
"Jh,Kc","Ad,9h,Qd"
"Kd,Th","3c,3h,9c,2s,2c"
"As,Kd","4d,Jd,3c,2d"
"Ks,9d","6d,4c,7s,Qs,Kd"
"4c,Jd","Kd,9s,6c,Jh,8h"
"Kd,6s","9s,5h,As"
"8c,Qc","9d,Jd,Kh,9h,5c"
"2h,9d","5h,3h,Jc"
"4d,As","9d,Qd,3d,7c,3h"
"Jc,2s","3d,6s,8d,Qh,5c"
"4c,2c","2h,Qh,Jh,Kc"
"4d,Js","Kh,6d,8d,Th,2c"
"7h,Ad","Kd,6h,5d"
"8d,Jd","5h,8s,7d"
"6h,4s","8h,4h,6d,8d"
"Qh,6c","8c,Ad,9h"
"3s,Kd","Ah,5s,3h,5d,5c"
"5h,7d","5c,6c,Js,6s,8s"
"7d,7c","Th,Jd,Tc,3s,9c"
"4h,As","8h,7h,Jc,Jh"
"8h,5d","Kc,5c,Qc,Ad"
"6d,7d","4c,Td,Tc,8h,Jh"
"Qc,6c","8h,8d,Jh,Ts"
"2s,9s","Qs,6d,4h"
"3s,6d","Th,3h,4c,Kc"
"Ts,6c","As,4d,3s,6d"
"Qc,8d","Kh,7c,4s,Tc"
"2h,9d","8h,7h,6d,Th"
"5h,9s","7c,2h,Jh"
"Ts,8h","Qc,2d,Kd,2h"
"Ah,Jh","Js,5d,Ts,Tc,Kc"
"Ac,3c","2d,6s,Td,7c"
"6s,Kc","8h,5c,2d"
"Kh,3h","Ac,4d,3c,3s,6h"
"4h,Tc","9s,8s,3h,Qd,4c"
"3d,Ac","8h,7d,4h,Kc,3c"
"Qd,3d","Kc,7s,2d,Ad"
"4d,6c","6d,Ad,Qh,3s,5h"
"7d,5s","Ac,9s,6c,Kd"
"8h,Kh","2h,6s,5d"
"Kd,2h","8d,4c,4s,5d,8h"
"5c,2c","7s,Ah,Ts,Jd,Jc"
"4c,9d","Kc,Qc,6c,9h,8h"
"4c,6s","5s,Qh,5d,4d,2c"
"8d,5s","4c,Jd,As,Th,6h"
"7c,6c","2h,2d,9c"
"Kh,As","7s,9h,Ac,Kc"
"Ad,Qd","Qh,Tc,Ac,9d,4s"
"8d,Tc","Ac,Jd,Js,5s,5h"
"As,3h","9h,9s,4c"
"5h,5d","2d,4h,Jd,7h"
"Ac,Ah","Js,Tc,As"
"7c,Ts","Js,Jc,Tc,8c"
"6h,As","Kc,Ah,5c,Jh"
"Jd,2s","2d,5s,9c,Ah"
"8d,8s","6d,7c,4h,Qd"
"Td,Kd","9s,As,4h,Jh"
"4s,Qc","7s,7h,Jc,8d,4c"
"6s,5h","3c,Ac,Qh,4s,8c"
"7c,9c","2d,Ah,Ad,5d"
"8s,Td","4d,6h,7h,8h,9c"
"9d,Kd","Tc,5d,Ac,Qd"
"4h,7d","2d,Kh,Qd,8h"
"3d,Tc","5h,Jc,5d,Jh"
"Kd,Jd","9d,As,2s,3d,4s"
"2h,Jd","9d,Kd,3h"
"Ks,As","Ts,Qc,5s,3c,6d"
"9d,Jc","Td,2s,8c,Kc"
"7c,8s","9s,Kc,7s"
"Js,Jd","6c,8d,Qc,6s"
"4s,8h","Ad,As,Td"
"Qs,Jc","2d,As,Jd"
"Qc,Jc","Ac,2s,7h,3d"
"3c,Js","Ts,Ac,3d,Jh"
"3h,2c","Kc,7h,Tc"
"3d,3s","5c,Jc,Kc"
"7s,Kc","Jh,3s,6d,2s"
"Ad,4s","Kh,6c,2d,6h,9s"
"9s,Tc","5c,2h,3c,8c"
"Jh,8d","4d,7d,Ks,3d,5c"
"Ah,8h","Th,7d,7h,9c,Qd"
"Td,Js","8c,As,6h,9d,8s"
"3h,2d","Kh,Ks,4h,7h,Ah"
"6h,Qc","4h,3d,3c"
"Kd,4d","3h,9c,4s"
"Jd,9c","6c,3d,8s,2s"
"5s,Kd","3h,7s,8d"
"Tc,7s","4s,4d,Ks,Kc,7c"
"Jd,8d","Th,9c,8c,3h,2s"
"Td,5s","6c,As,8s"
"Th,Ad","Jh,3c,9h,6s"
"2s,Qh","Kc,Qs,4s"
"9s,4c","Jc,9d,3c,Kd"
"5c,8s","7d,Js,2c,Kh"
"Kd,6s","4s,Jc,Qc,8c,7c"
"6h,2s","7h,Qc,Js"
"Kh,3c","6s,Tc,9d,5d"
"Ts,5h","9h,Qh,Kd"
"3s,2h","7c,8c,Qc"
"4d,5c","3d,Qc,6c"
"Td,4c","Kh,Jd,7c"
"3c,Jd","2h,Kd,4d,Jh,7d"
"Tc,4h","9h,8s,9d,7d,Ah"
"Td,2c","Kd,4h,2s,4s"
"Td,9h","Ks,4d,2h,6s,9s"
"4s,9d","Qh,8s,Kd"
"Kc,3s","5c,2h,8s,9s,4d"
"Kc,Kh","Td,9s,8c"
"Ts,Td","Ac,5h,8s,9d,3h"
"5h,Tc","2s,9d,Qc,8d,3s"
"7c,Kd","3s,2h,9s,4c,8s"
"Kd,Tc","7c,Kc,Kh,7d,Ks"
"2h,3d","3s,Js,8d,8h,Jh"
"As,5c","4s,8h,7c,6c,Th"
"5c,6s","5s,Qh,8c,Jc,8h"
"4d,Jh","3d,Ah,2h,2d"
"6s,5s","2h,Qc,9d,Jc"
"5c,6d","3h,3s,6h,4h,Qs"
"Tc,Ad","Ac,2s,5d,Ks,6h"
"4c,3c","6s,8s,Qs,Td,Th"
"3c,Kh","9c,Ad,Kc,2c,8c"
"Th,8c","9c,Qh,4h,8s,Ts"
"Th,Kd","9c,As,Qc,Js,3d"
"Td,Js","8s,2c,4c"
"4c,5d","Qs,9h,Ks,9s,6c"
"Th,9s","5h,Ah,3h,6s"
"Jh,8c","Ks,5d,3c,Js,3d"
"Ac,8h","Td,Kc,7s"
"Kh,3s","Ad,Jh,8d,Ac,7c"
"2s,9s","3s,Js,7c,6c,Ts"
"2c,8s","6s,Ah,8h,3d,9c"
"Qh,4s","8c,Js,5d,3s"
"Kc,8c","7h,2h,8s,6c,7c"
"5c,4c","4s,8s,2d"
"5h,Jc","Qc,5d,8s"
"2h,Ad","6h,9d,3h,Th"
"8c,7c","2s,9c,4c,Qh,9h"
"3h,9h","7h,2d,3c,Qc,5c"
"Qs,9s","4s,As,4d,Jc"
"6h,4s","Ac,5h,3h"
"7s,4h","3h,Kh,Ad"
"Td,2s","6s,2h,9d"
"8h,Ad","2s,6h,Ts,3d"
"5h,7d","Qd,5c,9d,4c,Jd"
"7c,Ks","Ts,Ac,5c,4d"
"4c,Ac","Qh,2s,As,4d,Qc"
"9s,Th","7d,5c,6s"
"2d,Js","5d,Ks,6h,Th,Qs"
"3s,9d","Td,Jc,Tc"
"7h,6d","5c,3d,Kd,6c,Ks"
"Qs,Ad","8s,3s,Jc"
"3h,9h","Js,2h,3c,8d,7h"
"7h,7s","9d,2d,5c,9s"
"Qh,Ad","7d,3h,5s"
"Ks,Ah","2s,3c,4d"
"2h,6h","8s,Qc,Jc,7s"
"4c,6s","Kc,4d,Ad,8h,6h"
"8h,3h","5h,6h,Qc,2c"
"2d,8c","6d,Td,Ts"
"8s,Ts","7s,4d,5d"
"6h,6s","7h,Js,8d,Kd"
"5d,Qd","Jd,4d,Ks,6c"
"7s,9d","8c,6h,Jc"
"4c,As","Ts,Jh,Qs,8h"
"3d,2c","Qd,7c,7s,2d,2s"
"2h,Ks","8d,6s,Jc,5s"
"8c,Ts","7d,3c,Qc,Js,8d"
"6h,4h","Qh,Jd,Qs,5c,Kh"
"Qc,2s","Kh,2h,6c,Ts"
"8c,Ks","7h,Qs,8s,7d"
"Js,2s","Kh,5d,7c,5h"
"9h,6d","7h,Qh,Tc,7c"
"Jh,3d","Kd,3c,7d,Qs,7c"
"6d,5s","5d,Th,Js,Tc"
"9c,Jh","7h,As,Qc,6h"
"8h,6d","Ac,7c,8c,8s,Qh"
"6s,8d","Td,Qc,6d,Qd,7s"
"2s,Qd","8h,Js,9d,Jd,Ah"
"Th,Kh","8s,4s,Jc"
"Ac,Kc","8h,6s,Ah,Qc"
"6d,6h","Ac,Ts,Th,Ks"
"Tc,4h","7d,8d,2c,5c"
"4c,As","Jc,Jh,4s,5s,5d"
"Qs,Ts","Kc,Qc,6h,2d"
"5s,7s","6h,Ts,9s"
"Jh,8h","4c,5h,3s"
"Ah,Qd","8s,Th,Kh,5d,9s"
"As,4c","Ad,Qh,8s,Js"
"9h,5s","6d,4h,6s"
"Qh,8c","3h,Js,2s,9d,Tc"
"6d,8s","Tc,Kh,6s,7c,7h"
"Ac,2c","2h,Js,6d,Kd"
"Qc,9c","6c,Tc,Qs"
"8s,Tc","Jh,9s,5h,2c,8c"
"Kd,7h","Qd,3c,8d"
"Ks,As","2h,Jd,Ad,6s"
"6s,4d","Ts,9d,9s,Qh,9h"
"4h,3c","As,Qh,Jh,8c"
"7h,4c","Jh,Jd,4h,2c,5s"
"3s,6c","Qc,5h,Jd,8d"
"Ks,8s","4c,8h,Ts"
"2c,7h","6s,Js,Qs,4h,5s"
"Td,6d","Js,Ad,6s"
"4h,3c","Qc,3s,6c,Qs"
"8s,Tc","7s,Kd,7d"
"Qd,2c","Jh,Ac,4c,7h,6s"
"5s,3d","3s,Jc,Qh,Jd"
"Ks,As","2h,Qd,7s,8s,Jc"
"Qh,8s","8d,5s,7h,6d,2s"
"4s,Ks","5d,3c,2d"
"7h,2s","3c,5s,Kh,9h,6d"
"5c,3c","4c,Tc,Qd,Ks"
"7s,8h","4s,Kd,4d,7d"
"8d,4d","7d,Th,6h,6c,Qh"
"Qs,2h","2d,Ad,7s,6c,3h"
"Kd,6d","5c,Qs,Ac"
"Kd,8d","4h,As,Jh,Ks,Th"
"8s,2c","7s,Qs,Js"
"3s,Ah","5d,8c,Jc,Qc"
"2h,Js","Kd,8c,Jd,Jh"
"2h,Kc","7c,6s,Th"
"Tc,Qc","Th,Qh,5s"
"Ac,Ah","3s,9d,3c,Js"
"4s,5c","3d,7d,8c,3c"
"Jc,5d","Kc,9d,7s,2s"
"8s,Js","As,4s,5c,Ah"
"4c,4h","9s,5c,3h,6c,Ac"
"3c,4d","4s,3d,2h,Tc"
"Js,3s","Qc,Qs,4c,Ac"
"Qh,5d","9h,3s,2h,8s,4h"
"9h,2h","6h,Qs,6c,Ts"
"8h,4s","Ks,3c,9s"
"Jd,4c","5h,Ad,7s"
"7h,5c","Jc,9d,Kh"
"Qc,9c","2d,8d,7c"
"2s,Ad","8s,Kd,6d,2d,Tc"
"5d,7h","Jh,2h,Qc,4c,8c"
"Jh,2d","Ad,5c,Js,5d"
"5d,7c","9c,Ah,3h,9h"
"3d,8h","9h,Jd,Jc,9s"
"Kc,2c","As,5d,Ts,5s"
"Ad,2c","7c,Kh,Ts,Ks,4c"
"Ac,5h","7s,2s,6d,Kh"
"3d,3c","8h,9c,7c,4c"
"Kc,Jd","7c,8s,Kh"
"Ac,6d","Td,9h,8d,5s"
"9c,Js","8s,Th,Qh,Ts,Qd"
"Tc,Jd","Qh,5d,4s"
"Ts,2h","Ad,Kd,4s,9c"
"Ad,Qc","9h,Tc,9s,8c,5s"
"Qd,3c","9c,7h,9s"
"3s,9h","Kc,8d,4c,8h,2c"
"2s,7c","4s,2h,3d"
"3s,4h","2s,7h,Jc,8c,4d"
"Tc,Qh","4h,3c,2c"
"9h,9d","4s,Jc,Ac,Kh,4h"
"As,6d","8h,Ks,Qh,Tc,Ac"
"6h,Jd","Qc,5c,7s"
"2s,5d","Ad,8d,7h,Ts,9c"
"4h,Jd","Qh,2h,9h"
"6h,Ks","5h,Ac,6s,9h"
"Kd,Kc","3h,3d,9d"
"7d,Ac","Jd,6c,2c"
"5s,Jh","3h,4s,3c,2s,7d"
"6h,5h","2d,Jc,9h,2h"
"Jd,9h","Qh,Js,Kd,3h,Ad"
"Ts,2d","2h,3d,4h,Js,Jd"
"4c,Qs","4h,8c,2d"
"Jc,8s","7c,8h,2c,5d"
"Jd,9c","Ah,4h,2s,5d"
"Kh,6c","7d,Qc,7c"
"Qd,4c","8h,4s,6c"
"4s,Ts","5c,Ad,Tc,Qc,Qd"
"Qd,9h","2h,Ah,6c,2d,7s"
"Qs,7h","7c,7d,2c,6s,Jc"
"8c,7h","8s,4d,8h"
"5h,Qh","9c,7h,2h,7d,5s"
"5h,As","7h,8d,Kc,7s,Tc"
"3s,3d","3h,7h,6c"
"Jc,Ks","7s,8s,2c,7c,Tc"
"9d,Qh","2s,7s,Qc,Ah,5s"
"4h,Ah","8d,4s,7c,9c"
"3c,9h","Td,Jd,5s,4c,8s"
"Kh,Qd","8h,2s,6c,Kd"
"Kc,2d","5c,4c,Td"
"7h,5h","Jc,9d,3c,Qs"
"Kh,6d","Kc,Jh,Qh,Ac,2h"
"3c,3h","2s,4h,7s"
"6s,Jh","5h,7h,Kh,2c,6h"
"Ac,5c","6h,Th,7h,4c"
"5d,3d","4c,Ts,5h"
"Tc,Ah","Js,4d,9s,Kh,5h"
"8d,2h","3d,Qd,2c"
"Js,Td","8s,5c,9h,3c"
"7h,9d","2h,4c,Kh"
"Ac,Jc","Js,2d,Ad,4s,Tc"
"Ah,Jh","Kh,Qs,6d,Jd"
"4s,Ks","7c,9c,2h"
"7h,2d","Th,3h,Qd,6s"
"Ad,Jd","5c,Jh,8h"
"5d,4c","4h,7c,9s,Qc"
"4s,Kd","3c,9s,6s,Qc,8s"
"7c,6d","7h,4d,7d"
"9c,7s","9h,6h,9s,Qc,2c"
"7c,Tc","2c,Kd,7h,5c"
"7c,Qc","8c,Td,Ah,Ks,Kc"
"As,9s","6c,8c,6d,Ac,Ks"
"9s,Ad","9d,Ac,Qd"
"Qs,8c","7s,3s,Ts"
"3d,5h","8h,Qc,Qd,2d,Jc"
"Kh,Ts","3h,Ah,3s,Kd,Qh"
"9d,Ah","5d,Ad,6s,Ts,Kh"
"Jc,6c","6s,Th,7d,Jh"
"6h,Kh","3h,Jd,6c,Ad,9h"
"Jh,5c","Qh,Td,4c,9h"
"8s,9c","7s,Jd,3h,5h"
"2h,As","7h,3c,4c,6h,3h"
"3c,7h","6c,Jd,7s,Ks,Jh"
"Ts,9s","5h,5d,Qd,Ac,7d"
"3s,2c","Qd,Ad,As,2s,3c"
"Jh,5h","9s,4h,2h"
"4h,Ad","2h,2c,5s,As,Td"
"7s,Kc","Qc,2h,2s"
"9s,Kc","9d,Jh,Td,3h"
"8s,5c","Kc,Ad,2h,9c"
"Ks,Js","7d,Ad,3c"
